"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-4.8467e-12,-0.028323,0.082129,-108.91,1.8788e-08,4.5224e-10,2.2148e-08,-71.386,-284.23,-1.747e-08,-29.657,180.29,0.0016047,76.513,0.34952,0.22909,-0.57861,-6.5682e-11,0.50363,2.7304e-11,444.54,0,0,0,0.00099024,0,0.0002601,0.0072953
-4.6884e-12,-0.029088,0.079906,-107.81,1.7516e-08,4.8254e-10,2.2479e-08,-65.7,-298.55,-1.6861e-08,-30.869,173.51,0.0015978,76.528,0.34449,0.20994,-0.55444,-6.3889e-11,0.52619,2.6161e-11,448.11,0,0,0,0.0010006,0,0.0002698,0.0072988
-4.6375e-12,-0.029322,0.079188,-107.45,1.7132e-08,4.9129e-10,2.2551e-08,-63.703,-302.76,-1.6657e-08,-31.422,171.16,0.0015958,76.533,0.34292,0.20326,-0.54619,-6.331e-11,0.53322,2.5789e-11,449.09,0,0,0,0.0010038,0,0.00027289,0.0072998
-4.531e-12,-0.029821,0.077598,-106.67,1.6333e-08,5.1529e-10,2.284e-08,-59.387,-313.52,-1.6228e-08,-32.024,166.05,0.0015897,76.543,0.33912,0.1888,-0.52792,-6.2254e-11,0.54913,2.4968e-11,452.29,0,0,0,0.0010111,0,0.00027953,0.0073027
-4.4503e-12,-0.030183,0.076382,-106.06,1.576e-08,5.3182e-10,2.3003e-08,-55.797,-321.02,-1.5891e-08,-32.73,161.86,0.0015855,76.552,0.33629,0.17687,-0.51315,-6.1442e-11,0.56081,2.4343e-11,454.41,0,0,0,0.0010165,0,0.00028456,0.0073048
-4.3792e-12,-0.030502,0.075256,-105.5,1.5259e-08,5.5046e-10,2.3244e-08,-52.547,-329.03,-1.5589e-08,-32.958,158.04,0.0015804,76.559,0.33343,0.16607,-0.49951,-6.0828e-11,0.5719,2.3757e-11,457.15,0,0,0,0.0010216,0,0.00028906,0.0073071
-4.2824e-12,-0.030916,0.073706,-104.71,1.461e-08,5.7395e-10,2.3502e-08,-47.683,-339.09,-1.5165e-08,-33.545,152.39,0.001574,76.57,0.3296,0.15004,-0.47963,-5.9971e-11,0.58646,2.2958e-11,460.46,0,0,0,0.0010284,0,0.00029521,0.0073102
-4.2332e-12,-0.031124,0.072882,-104.29,1.4283e-08,5.8862e-10,2.3701e-08,-45.15,-345.23,-1.4944e-08,-33.561,149.44,0.0015697,76.575,0.32739,0.14173,-0.46912,-5.9604e-11,0.59442,2.2525e-11,462.82,0,0,0,0.0010321,0,0.00029835,0.007312
-4.1313e-12,-0.031533,0.07115,-103.39,1.3635e-08,6.1704e-10,2.4044e-08,-39.371,-357.02,-1.4474e-08,-33.847,142.76,0.0015615,76.587,0.32284,0.12288,-0.44573,-5.8819e-11,0.61026,2.1629e-11,467.21,0,0,0,0.0010397,0,0.00030492,0.0073158
-4.0933e-12,-0.031681,0.070477,-103.04,1.3397e-08,6.3008e-10,2.4227e-08,-37.165,-362.27,-1.4293e-08,-33.732,140.2,0.0015575,76.591,0.32095,0.11575,-0.4367,-5.8578e-11,0.6166,2.1272e-11,469.42,0,0,0,0.0010426,0,0.00030736,0.0073174
