"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.933e-11,2.6765e-07,0.16226,0.019477,9.1245e-07,-5.4133e-12,-3.2516e-07,-0.030925,-6.5862,1.294e-09,0.00019592,0.013834,0.011995,41.249,-0.00049826,0.00076475,-0.00026649,-7.3084e-09,0.068288,-1.4911e-11,6.5863,0,0,0,1,1.1189e-05,0,1.1189e-05,0.01024
-1.9408e-11,2.6076e-07,0.16226,0.019245,9.105e-07,-5.4008e-12,-3.2491e-07,-0.030983,-6.6555,1.2975e-09,0.00019506,0.013914,0.011958,41.249,-0.00049444,0.00076222,-0.00026778,-7.2739e-09,0.068566,-1.489e-11,6.6556,0,0,0,1,1.1589e-05,0,1.1589e-05,0.01024
-1.9487e-11,2.5386e-07,0.16226,0.019012,9.0854e-07,-5.3883e-12,-3.2465e-07,-0.031041,-6.7249,1.301e-09,0.0001942,0.013993,0.011921,41.249,-0.00049063,0.00075969,-0.00026907,-7.2394e-09,0.068844,-1.4869e-11,6.725,0,0,0,1,1.1989e-05,0,1.1989e-05,0.01024
-1.9565e-11,2.4696e-07,0.16226,0.01878,9.0658e-07,-5.3758e-12,-3.244e-07,-0.031099,-6.7942,1.3045e-09,0.00019334,0.014073,0.011884,41.249,-0.00048681,0.00075717,-0.00027036,-7.2049e-09,0.069121,-1.4847e-11,6.7943,0,0,0,1,1.2388e-05,0,1.2388e-05,0.01024
-1.9643e-11,2.4007e-07,0.16225,0.018547,9.0462e-07,-5.3633e-12,-3.2415e-07,-0.031157,-6.8635,1.308e-09,0.00019248,0.014152,0.011847,41.249,-0.00048299,0.00075464,-0.00027165,-7.1704e-09,0.069399,-1.4826e-11,6.8637,0,0,0,1,1.2788e-05,0,1.2788e-05,0.01024
-1.9721e-11,2.3317e-07,0.16225,0.018315,9.0266e-07,-5.3508e-12,-3.239e-07,-0.031215,-6.9329,1.3116e-09,0.00019162,0.014232,0.011811,41.249,-0.00047917,0.00075211,-0.00027294,-7.1359e-09,0.069676,-1.4805e-11,6.933,0,0,0,1,1.3187e-05,0,1.3187e-05,0.01024
-1.98e-11,2.2627e-07,0.16225,0.018082,9.007e-07,-5.3383e-12,-3.2365e-07,-0.031273,-7.0022,1.3151e-09,0.00019077,0.014312,0.011774,41.249,-0.00047535,0.00074958,-0.00027423,-7.1014e-09,0.069954,-1.4784e-11,7.0023,0,0,0,1,1.3587e-05,0,1.3587e-05,0.01024
-1.9878e-11,2.1937e-07,0.16225,0.01785,8.9874e-07,-5.3258e-12,-3.2339e-07,-0.031331,-7.0715,1.3186e-09,0.00018991,0.014391,0.011737,41.249,-0.00047154,0.00074705,-0.00027552,-7.0669e-09,0.070232,-1.4763e-11,7.0717,0,0,0,1,1.3987e-05,0,1.3987e-05,0.01024
-1.9956e-11,2.1248e-07,0.16225,0.017617,8.9678e-07,-5.3133e-12,-3.2314e-07,-0.031389,-7.1409,1.3221e-09,0.00018905,0.014471,0.0117,41.249,-0.00046772,0.00074453,-0.00027681,-7.0324e-09,0.070509,-1.4741e-11,7.141,0,0,0,1,1.4386e-05,0,1.4386e-05,0.01024
-2.0035e-11,2.0558e-07,0.16225,0.017385,8.9483e-07,-5.3008e-12,-3.2289e-07,-0.031447,-7.2102,1.3256e-09,0.00018819,0.014551,0.011663,41.25,-0.0004639,0.000742,-0.0002781,-6.9979e-09,0.070787,-1.472e-11,7.2103,0,0,0,1,1.4786e-05,0,1.4786e-05,0.01024
-2.0113e-11,1.9868e-07,0.16225,0.017152,8.9287e-07,-5.2883e-12,-3.2264e-07,-0.031505,-7.2795,1.3291e-09,0.00018733,0.01463,0.011626,41.25,-0.00046008,0.00073947,-0.00027939,-6.9634e-09,0.071065,-1.4699e-11,7.2797,0,0,0,1,1.5186e-05,0,1.5186e-05,0.01024
-2.0191e-11,1.9179e-07,0.16225,0.01692,8.9091e-07,-5.2758e-12,-3.2238e-07,-0.031563,-7.3489,1.3326e-09,0.00018647,0.01471,0.011589,41.25,-0.00045626,0.00073694,-0.00028068,-6.9289e-09,0.071342,-1.4678e-11,7.349,0,0,0,1,1.5585e-05,0,1.5585e-05,0.01024
-2.0269e-11,1.8489e-07,0.16225,0.016687,8.8895e-07,-5.2633e-12,-3.2213e-07,-0.031621,-7.4182,1.3361e-09,0.00018561,0.01479,0.011552,41.25,-0.00045245,0.00073441,-0.00028197,-6.8943e-09,0.07162,-1.4657e-11,7.4183,0,0,0,1,1.5985e-05,0,1.5985e-05,0.01024
-2.0348e-11,1.7799e-07,0.16224,0.016455,8.8699e-07,-5.2508e-12,-3.2188e-07,-0.031679,-7.4875,1.3396e-09,0.00018476,0.014869,0.011515,41.25,-0.00044863,0.00073189,-0.00028326,-6.8598e-09,0.071897,-1.4635e-11,7.4877,0,0,0,1,1.6384e-05,0,1.6384e-05,0.01024
-2.0426e-11,1.711e-07,0.16224,0.016222,8.8503e-07,-5.2383e-12,-3.2163e-07,-0.031737,-7.5569,1.3431e-09,0.0001839,0.014949,0.011478,41.25,-0.00044481,0.00072936,-0.00028455,-6.8253e-09,0.072175,-1.4614e-11,7.557,0,0,0,1,1.6784e-05,0,1.6784e-05,0.01024
-2.0504e-11,1.642e-07,0.16224,0.01599,8.8307e-07,-5.2258e-12,-3.2137e-07,-0.031795,-7.6262,1.3467e-09,0.00018304,0.015028,0.011441,41.25,-0.00044099,0.00072683,-0.00028584,-6.7908e-09,0.072453,-1.4593e-11,7.6263,0,0,0,1,1.7184e-05,0,1.7184e-05,0.01024
-2.0582e-11,1.573e-07,0.16224,0.015757,8.8111e-07,-5.2133e-12,-3.2112e-07,-0.031854,-7.6955,1.3502e-09,0.00018218,0.015108,0.011404,41.25,-0.00043717,0.0007243,-0.00028713,-6.7563e-09,0.07273,-1.4572e-11,7.6957,0,0,0,1,1.7583e-05,0,1.7583e-05,0.01024
-2.0661e-11,1.5041e-07,0.16224,0.015525,8.7916e-07,-5.2008e-12,-3.2087e-07,-0.031912,-7.7649,1.3537e-09,0.00018132,0.015188,0.011367,41.25,-0.00043336,0.00072178,-0.00028842,-6.7218e-09,0.073008,-1.4551e-11,7.765,0,0,0,1,1.7983e-05,0,1.7983e-05,0.01024
-2.0739e-11,1.4351e-07,0.16224,0.015292,8.772e-07,-5.1883e-12,-3.2062e-07,-0.03197,-7.8342,1.3572e-09,0.00018046,0.015267,0.01133,41.25,-0.00042954,0.00071925,-0.00028971,-6.6873e-09,0.073285,-1.4529e-11,7.8343,0,0,0,1,1.8382e-05,0,1.8382e-05,0.01024
-2.0817e-11,1.3661e-07,0.16224,0.01506,8.7524e-07,-5.1759e-12,-3.2037e-07,-0.032028,-7.9036,1.3607e-09,0.0001796,0.015347,0.011293,41.25,-0.00042572,0.00071672,-0.000291,-6.6528e-09,0.073563,-1.4508e-11,7.9037,0,0,0,1,1.8782e-05,0,1.8782e-05,0.01024
