"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","arc_length","Points:0","Points:1","Points:2"
-6.9397e-12,-0.032968,0.061471,-96.988,2.0472e-08,8.3456e-10,4.721e-08,-20.86,-437.63,-3.3517e-08,-25.173,117.85,0.00013502,6.4813,0.02619,0.0056253,-0.031815,-9.1298e-12,0.062457,4.4091e-12,511.88,0,0,0,0.0010839,0,0.00033971,0.007343
-6.9043e-12,-0.033069,0.060708,-96.614,2.0226e-08,8.5506e-10,4.8181e-08,-17.396,-445.06,-3.3179e-08,-24.737,114.01,0.00013421,6.4818,0.025931,0.0046527,-0.030583,-9.1754e-12,0.063037,4.3348e-12,516.25,0,0,0,0.0010872,0,0.00034209,0.0073453
-6.8293e-12,-0.03326,0.059127,-95.872,1.9721e-08,9.0398e-10,5.0509e-08,-10.093,-462.67,-3.2445e-08,-23.608,105.97,0.00013229,6.4829,0.025365,0.002663,-0.028028,-9.2839e-12,0.064306,4.1698e-12,527.2,0,0,0,0.0010939,0,0.00034669,0.0073501
-6.8134e-12,-0.033293,0.058787,-95.695,1.9619e-08,9.1342e-10,5.0955e-08,-8.4054,-466.03,-3.2279e-08,-23.319,104.1,0.00013192,6.4831,0.025247,0.0022041,-0.027451,-9.3053e-12,0.064542,4.1351e-12,529.27,0,0,0,0.0010953,0,0.00034769,0.0073512
-6.7483e-12,-0.033407,0.057448,-95.031,1.9217e-08,9.5691e-10,5.2962e-08,-1.5734,-481.11,-3.1579e-08,-22.042,96.606,0.00013027,6.4841,0.024759,0.00041321,-0.025173,-9.3986e-12,0.065526,3.9883e-12,539.03,0,0,0,0.0011008,0,0.00035132,0.0073553
-6.7262e-12,-0.033449,0.056921,-94.75,1.9067e-08,9.7483e-10,5.381e-08,1.0428,-487.34,-3.133e-08,-21.376,93.708,0.00012961,6.4844,0.024559,-0.00028093,-0.024278,-9.4409e-12,0.065918,3.932e-12,543.02,0,0,0,0.0011031,0,0.00035279,0.007357
-6.7197e-12,-0.033459,0.056776,-94.677,1.9025e-08,9.8059e-10,5.4074e-08,1.772,-489.28,-3.1256e-08,-21.178,92.906,0.0001294,6.4845,0.024502,-0.00046764,-0.024034,-9.4534e-12,0.066034,3.9154e-12,544.31,0,0,0,0.0011036,0,0.00035316,0.0073574
-6.6488e-12,-0.03353,0.055138,-93.75,1.8587e-08,1.0392e-09,5.676e-08,10.705,-508.81,-3.0382e-08,-18.598,83.046,0.00012731,6.4858,0.023869,-0.0027508,-0.021118,-9.5859e-12,0.067128,3.7319e-12,557.3,0,0,0,0.0011104,0,0.00035742,0.0073627
-6.6165e-12,-0.033554,0.054448,-93.382,1.8397e-08,1.0678e-09,5.8033e-08,14.587,-518.16,-2.9978e-08,-17.473,78.796,0.00012634,6.4863,0.023594,-0.0037015,-0.019892,-9.645e-12,0.06763,3.6485e-12,563.74,0,0,0,0.0011132,0,0.00035907,0.0073649
-6.5685e-12,-0.03356,0.05338,-92.739,1.8125e-08,1.108e-09,5.9801e-08,20.969,-530.87,-2.9337e-08,-15.42,71.771,0.00012497,6.4872,0.023176,-0.0052747,-0.017901,-9.7304e-12,0.068247,3.5232e-12,572.55,0,0,0,0.0011174,0,0.00036165,0.0073683
-6.5052e-12,-0.033559,0.052097,-92.01,1.7787e-08,1.1623e-09,6.2167e-08,28.987,-548.13,-2.8477e-08,-12.94,63.025,0.00012317,6.4883,0.022663,-0.0071571,-0.015506,-9.837e-12,0.069064,3.3605e-12,584.89,0,0,0,0.0011223,0,0.00036447,0.0073723
-6.4836e-12,-0.033545,0.051635,-91.715,1.7674e-08,1.1799e-09,6.2932e-08,31.995,-553.54,-2.8165e-08,-11.872,59.722,0.00012258,6.4887,0.022482,-0.0078735,-0.014608,-9.873e-12,0.069283,3.3038e-12,588.8,0,0,0,0.0011241,0,0.0003655,0.0073738
-6.4176e-12,-0.033498,0.050367,-90.948,1.7349e-08,1.234e-09,6.5244e-08,40.732,-570.23,-2.7201e-08,-8.9726,50.217,0.00012082,6.4899,0.021976,-0.0098462,-0.01213,-9.9735e-12,0.069956,3.136e-12,601.23,0,0,0,0.0011288,0,0.00036807,0.0073776
-6.3988e-12,-0.033475,0.049924,-90.65,1.7246e-08,1.2546e-09,6.6154e-08,43.654,-576.64,-2.6897e-08,-7.6654,46.997,0.00012018,6.4903,0.021786,-0.010516,-0.01127,-1.0017e-11,0.070199,3.0785e-12,605.88,0,0,0,0.0011305,0,0.00036901,0.0073791
-6.3901e-12,-0.033466,0.049746,-90.54,1.7202e-08,1.264e-09,6.6555e-08,44.881,-579.53,-2.6759e-08,-7.1597,45.66,0.0001199,6.4905,0.02171,-0.010782,-0.010928,-1.0034e-11,0.070312,3.0537e-12,608.02,0,0,0,0.0011312,0,0.00036935,0.0073796
-6.3243e-12,-0.033336,0.048297,-89.508,1.6874e-08,1.3325e-09,6.9502e-08,55.343,-599.98,-2.5625e-08,-2.2643,34.166,0.00011784,6.4919,0.021091,-0.013092,-0.0079994,-1.0168e-11,0.070934,2.8571e-12,623.49,0,0,0,0.0011366,0,0.00037218,0.0073843
-6.2796e-12,-0.033261,0.047443,-88.943,1.6664e-08,1.3781e-09,7.1396e-08,61.911,-613.52,-2.4863e-08,0.49532,27.032,0.00011654,6.4928,0.020728,-0.014458,-0.0062691,-1.0247e-11,0.071375,2.7322e-12,633.93,0,0,0,0.0011396,0,0.00037366,0.0073869
-6.2415e-12,-0.033161,0.046663,-88.353,1.649e-08,1.4153e-09,7.2956e-08,68.049,-624.14,-2.4174e-08,3.5178,20.304,0.00011545,6.4937,0.020396,-0.015768,-0.0046282,-1.0315e-11,0.071606,2.6214e-12,642.36,0,0,0,0.0011424,0,0.00037507,0.0073894
-6.1542e-12,-0.03297,0.045104,-87.258,1.611e-08,1.4977e-09,7.6313e-08,81.25,-647.73,-2.2596e-08,9.2683,6.006,0.00011314,6.4955,0.019742,-0.018412,-0.0013297,-1.0447e-11,0.072195,2.3837e-12,661.42,0,0,0,0.0011476,0,0.00037754,0.007394
