# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
159                 	3.342783305945e-04	5.005631053423e-04	1.270558122690e-04	2.378737622781e-04
160                 	3.326993147535e-04	4.954133660341e-04	1.259543203641e-04	2.343100919932e-04
161                 	3.309431823194e-04	4.903400446208e-04	1.248670048466e-04	2.309252829464e-04
162                 	3.288503770264e-04	4.853480663711e-04	1.237938661342e-04	2.264851089432e-04
163                 	3.263337363212e-04	4.804256525416e-04	1.227340132614e-04	2.232439076593e-04
164                 	3.235703601852e-04	4.755696312842e-04	1.216871751202e-04	2.198417398864e-04
165                 	3.208488507633e-04	4.707809394390e-04	1.206532461272e-04	2.162868851427e-04
166                 	3.183135871961e-04	4.660688515344e-04	1.196323162662e-04	2.129145651492e-04
167                 	3.159818973904e-04	4.614205208322e-04	1.186238377398e-04	2.098558815264e-04
168                 	3.140369098596e-04	4.568369950218e-04	1.176279040455e-04	2.067357866300e-04
169                 	3.122946309008e-04	4.523151066646e-04	1.166438925758e-04	2.035753141271e-04
170                 	3.106430450244e-04	4.478558853890e-04	1.156716748532e-04	2.006179352734e-04
171                 	3.090157322311e-04	4.434627205509e-04	1.147112165131e-04	1.978106246579e-04
172                 	3.073992180022e-04	4.391339814747e-04	1.137622646799e-04	1.950934687369e-04
173                 	3.057943362814e-04	4.348646634314e-04	1.128243160355e-04	1.924345350976e-04
174                 	3.042041224561e-04	4.306523438574e-04	1.118973758514e-04	1.898738510388e-04
175                 	3.026321798725e-04	4.264963274792e-04	1.109811227895e-04	1.873420347700e-04
176                 	3.011152809112e-04	4.223971736285e-04	1.100753986723e-04	1.848126539090e-04
177                 	2.996538383226e-04	4.183548060258e-04	1.091802243618e-04	1.823654076629e-04
178                 	2.982179157785e-04	4.143650359976e-04	1.082954076144e-04	1.799435828082e-04
179                 	2.968008165540e-04	4.104297984815e-04	1.074206933115e-04	1.775782653073e-04
180                 	2.953988947117e-04	4.065487472325e-04	1.065559135064e-04	1.753207943860e-04
181                 	2.940118404048e-04	4.027186825675e-04	1.057008808844e-04	1.731200513548e-04
182                 	2.926381725302e-04	3.989391033094e-04	1.048555484834e-04	1.709943674658e-04
183                 	2.912778370556e-04	3.952090064609e-04	1.040197192654e-04	1.688793485562e-04
184                 	2.899320345190e-04	3.915250824883e-04	1.031931118158e-04	1.667521052501e-04
185                 	2.885996702755e-04	3.878929584891e-04	1.023757435539e-04	1.646815101695e-04
186                 	2.872807696445e-04	3.843114470262e-04	1.015674528462e-04	1.626577359945e-04
187                 	2.859749994850e-04	3.807787414220e-04	1.007681719987e-04	1.606876328443e-04
188                 	2.846823654108e-04	3.772932462669e-04	9.997777709194e-05	1.587268010566e-04
189                 	2.834034915966e-04	3.738522946814e-04	9.919603189011e-05	1.567764954885e-04
190                 	2.821439974475e-04	3.704567844032e-04	9.842297328558e-05	1.548884929708e-04
191                 	2.809050360466e-04	3.671043958358e-04	9.765834371287e-05	1.529967908937e-04
192                 	2.796817755064e-04	3.637957545440e-04	9.690208006609e-05	1.511952291591e-04
193                 	2.784722403437e-04	3.605248020321e-04	9.615391860416e-05	1.494292460277e-04
194                 	2.772752185085e-04	3.572946927343e-04	9.541397936204e-05	1.476526983345e-04
195                 	2.760909021134e-04	3.541050190164e-04	9.468212604083e-05	1.458955147569e-04
196                 	2.749173540176e-04	3.509535852112e-04	9.395777966589e-05	1.443267177753e-04
197                 	2.737559205683e-04	3.478451404504e-04	9.324142740990e-05	1.428021098945e-04
198                 	2.726060702980e-04	3.447766401638e-04	9.253251749594e-05	1.412837182183e-04
199                 	2.714668637973e-04	3.417459918267e-04	9.183111472808e-05	1.397688566417e-04
200                 	2.703382918306e-04	3.387521774669e-04	9.113708187712e-05	1.382403756380e-04
201                 	2.692203075795e-04	3.357946287069e-04	9.045027099792e-05	1.367321884140e-04
202                 	2.681126211580e-04	3.328734298948e-04	8.977050024262e-05	1.352533230519e-04
203                 	2.670148781207e-04	3.299872056279e-04	8.909780043498e-05	1.338057716544e-04
204                 	2.659275304384e-04	3.271353275764e-04	8.843207926173e-05	1.324275924274e-04
205                 	2.648502101333e-04	3.243198777964e-04	8.777268127343e-05	1.310681431180e-04
206                 	2.637822523704e-04	3.215382452237e-04	8.712041390804e-05	1.297408718767e-04
207                 	2.627237715550e-04	3.187906197332e-04	8.647490305355e-05	1.284413755371e-04
208                 	2.616746458746e-04	3.160751247635e-04	8.583601336398e-05	1.271819604656e-04
209                 	2.606346096171e-04	3.133917077527e-04	8.520357876323e-05	1.259530147419e-04
210                 	2.596038675299e-04	3.107392854253e-04	8.457751242927e-05	1.247510895795e-04
211                 	2.585823848540e-04	3.081174921365e-04	8.395783393490e-05	1.235398744069e-04
212                 	2.575696792086e-04	3.055256462222e-04	8.334439287997e-05	1.223303159066e-04
213                 	2.565656640255e-04	3.029632818298e-04	8.273702778369e-05	1.211456222255e-04
214                 	2.555701382773e-04	3.004313471791e-04	8.213564205332e-05	1.199474347794e-04
215                 	2.545830161540e-04	2.979298688472e-04	8.154021316670e-05	1.187721153155e-04
216                 	2.536043419568e-04	2.954571728077e-04	8.095078628000e-05	1.176349421177e-04
217                 	2.526341697438e-04	2.930135561292e-04	8.036725803898e-05	1.164926047630e-04
218                 	2.516719588290e-04	2.905993195877e-04	7.978937707541e-05	1.153578799183e-04
219                 	2.507175300673e-04	2.882134530494e-04	7.921719544448e-05	1.142897663739e-04
220                 	2.497707843500e-04	2.858559946718e-04	7.865056841316e-05	1.133293266225e-04
221                 	2.488319989313e-04	2.835255136160e-04	7.808950594357e-05	1.123858985788e-04
222                 	2.479013271764e-04	2.812210614405e-04	7.753403120384e-05	1.114792713795e-04
223                 	2.469782701869e-04	2.789427101217e-04	7.698400005510e-05	1.105549143031e-04
224                 	2.460626437117e-04	2.766897835429e-04	7.643933325959e-05	1.096414877460e-04
225                 	2.451540204816e-04	2.744615582542e-04	7.589998926614e-05	1.087295495255e-04
226                 	2.442523248995e-04	2.722581557832e-04	7.536598522175e-05	1.078109933609e-04
227                 	2.433575496508e-04	2.700783474805e-04	7.483711426127e-05	1.068972701475e-04
228                 	2.424697016498e-04	2.679220352110e-04	7.431333852406e-05	1.059902220996e-04
229                 	2.415884802168e-04	2.657892624206e-04	7.379463394925e-05	1.050936115738e-04
230                 	2.407137928644e-04	2.636809098517e-04	7.328095871472e-05	1.042061297435e-04
231                 	2.398453192761e-04	2.615953474658e-04	7.277221351500e-05	1.033359438251e-04
232                 	2.389829386499e-04	2.595325241546e-04	7.226830680175e-05	1.024895750514e-04
233                 	2.381269396112e-04	2.574929615848e-04	7.176922257468e-05	1.016545575184e-04
234                 	2.372767518737e-04	2.554765469024e-04	7.127492883712e-05	1.008307008055e-04
235                 	2.364323992786e-04	2.534817198073e-04	7.078531081705e-05	1.000083560587e-04
236                 	2.355936653212e-04	2.515089112392e-04	7.030021214185e-05	9.925865841548e-05
237                 	2.347604572343e-04	2.495571090788e-04	6.981973159759e-05	9.855037619504e-05
238                 	2.339331091238e-04	2.476257953342e-04	6.934376093712e-05	9.783378882947e-05
239                 	2.331110379727e-04	2.457149389595e-04	6.887237736988e-05	9.709964154657e-05
240                 	2.322941428236e-04	2.438247271282e-04	6.840552194697e-05	9.636606862831e-05
241                 	2.314824274054e-04	2.419559447010e-04	6.794301006075e-05	9.563749379661e-05
242                 	2.306756944863e-04	2.401074374582e-04	6.748487779079e-05	9.490068072233e-05
243                 	2.298738696072e-04	2.382787210358e-04	6.703101748071e-05	9.416228372006e-05
244                 	2.290765136289e-04	2.364694989925e-04	6.658143441791e-05	9.342421756568e-05
245                 	2.282835070403e-04	2.346793880992e-04	6.613603859738e-05	9.268551381115e-05
246                 	2.274949305198e-04	2.329081787818e-04	6.569478751085e-05	9.195792954604e-05
247                 	2.267108700519e-04	2.311562275975e-04	6.525767169371e-05	9.127314429934e-05
248                 	2.259305114523e-04	2.294230101016e-04	6.482463745021e-05	9.057946823191e-05
249                 	2.251537169548e-04	2.277084269379e-04	6.439557488353e-05	8.987674085170e-05
250                 	2.243803617333e-04	2.260113673229e-04	6.397044520155e-05	8.917959481940e-05
251                 	2.236108276501e-04	2.243318747297e-04	6.354931669764e-05	8.849452358535e-05
252                 	2.228444492680e-04	2.226694869958e-04	6.313205205351e-05	8.781439048806e-05
253                 	2.220808042644e-04	2.210247487874e-04	6.271858620155e-05	2.353047044448e-04
254                 	2.212825877436e-04	2.143581597553e-04	6.254081284735e-05	1.783815364061e-04
255                 	2.204926480288e-04	2.100167186442e-04	6.227965294193e-05	1.174060941692e-04
256                 	2.197102579476e-04	2.079892458972e-04	6.193736092123e-05	1.056577061836e-04
257                 	2.189337064889e-04	2.068548292111e-04	6.155949007923e-05	1.020413594133e-04
258                 	2.181615687885e-04	2.057956074317e-04	6.117500251207e-05	9.468222905434e-05
259                 	2.173933461553e-04	2.045908624507e-04	6.079585483337e-05	8.771862376949e-05
260                 	2.166287362655e-04	2.032474620274e-04	6.042404826904e-05	8.315833751866e-05
261                 	2.158670437553e-04	2.018344004670e-04	6.005825588559e-05	8.087092348816e-05
262                 	2.151083119953e-04	2.004045004564e-04	5.969665440551e-05	8.013464813777e-05
263                 	2.143528240691e-04	1.989796511958e-04	5.933794757161e-05	7.986872331882e-05
264                 	2.136002611376e-04	1.975659201038e-04	5.898205058157e-05	7.946263347548e-05
265                 	2.128498855203e-04	1.961651635244e-04	5.862870542654e-05	7.878718760496e-05
266                 	2.121012942889e-04	1.947805788699e-04	5.827789679554e-05	7.795134286098e-05
267                 	2.113546808979e-04	1.934145111423e-04	5.792979639459e-05	7.715583177474e-05
268                 	2.106095186992e-04	1.920686176371e-04	5.758457686911e-05	7.650444021570e-05
269                 	2.098657489462e-04	1.907403904066e-04	5.724209567923e-05	7.594800962980e-05
270                 	2.091238266075e-04	1.894263828478e-04	5.690234520783e-05	7.543678912082e-05
271                 	2.083830891353e-04	1.881244085822e-04	5.656528173323e-05	7.493104316851e-05
272                 	2.076438689228e-04	1.868331350248e-04	5.623090866274e-05	7.442444765221e-05
273                 	2.069061956234e-04	1.855508540791e-04	5.589917670002e-05	7.393792190221e-05
274                 	2.061702061019e-04	1.842791370817e-04	5.557001550018e-05	7.346643966455e-05
275                 	2.054357198822e-04	1.830187467796e-04	5.524344781545e-05	7.299498899049e-05
276                 	2.047035660513e-04	1.817699613473e-04	5.491946978747e-05	7.252397093935e-05
277                 	2.039728319256e-04	1.805342283031e-04	5.459801158487e-05	7.204697914890e-05
278                 	2.032454201730e-04	1.793103085929e-04	5.427902616833e-05	7.155610352000e-05
279                 	2.025199085275e-04	1.780978968502e-04	5.396249395703e-05	7.106520357212e-05
280                 	2.017980093423e-04	1.768967519457e-04	5.364842331974e-05	7.057430554122e-05
281                 	2.010792397530e-04	1.757065267640e-04	5.333678047703e-05	7.004764176665e-05
282                 	2.003641540116e-04	1.745275608331e-04	5.302749242885e-05	6.954498654351e-05
283                 	1.996531346374e-04	1.733593171283e-04	5.272055529917e-05	6.911261266377e-05
284                 	1.989464495948e-04	1.722019016580e-04	5.241596601632e-05	6.868176556175e-05
285                 	1.982444443224e-04	1.710547506248e-04	5.211371681962e-05	6.824270080454e-05
286                 	1.975475376720e-04	1.699179487694e-04	5.181379437435e-05	6.779235341833e-05
287                 	1.968558085270e-04	1.687914681230e-04	5.151618781500e-05	6.733266078034e-05
288                 	1.961703953676e-04	1.676751765224e-04	5.122088154366e-05	6.686950350944e-05
289                 	1.954902543644e-04	1.665690331321e-04	5.092785384409e-05	6.640141000502e-05
290                 	1.948171717750e-04	1.654732259392e-04	5.063706012713e-05	6.590292727105e-05
291                 	1.941503534701e-04	1.643874083551e-04	5.034845050418e-05	6.539022844589e-05
292                 	1.934898501930e-04	1.633115274164e-04	5.006201600092e-05	6.490386378684e-05
293                 	1.928372147264e-04	1.622452912839e-04	4.977774591549e-05	6.445677156523e-05
294                 	1.921917825110e-04	1.611888706490e-04	4.949564192168e-05	6.401041296005e-05
295                 	1.915539574719e-04	1.601416611191e-04	4.921567674213e-05	6.355497118929e-05
296                 	1.909239411803e-04	1.591035557639e-04	4.893777788790e-05	6.310521607504e-05
297                 	1.903027098406e-04	1.580743686905e-04	4.866194071738e-05	6.265488889310e-05
298                 	1.896903415646e-04	1.570541269001e-04	4.838816029617e-05	6.223204766932e-05
299                 	1.890878873267e-04	1.560427343178e-04	4.811638679381e-05	6.180340498235e-05
300                 	1.884978087544e-04	1.550402708586e-04	4.784661803504e-05	6.137311453256e-05
301                 	1.879211247754e-04	1.540465458460e-04	4.757889805466e-05	6.092477035987e-05
302                 	1.873601734756e-04	1.530616876979e-04	4.731317883552e-05	6.044315223122e-05
303                 	1.868014752982e-04	1.520859948633e-04	4.704932082316e-05	5.997581357262e-05
304                 	1.862446539121e-04	1.511191576049e-04	4.678750713074e-05	5.952857467040e-05
305                 	1.856897686744e-04	1.501607620195e-04	4.652760137476e-05	5.909977664231e-05
306                 	1.851371377194e-04	1.492106413695e-04	4.626958712197e-05	5.867589407772e-05
307                 	1.845867231206e-04	1.482686019467e-04	4.601345027864e-05	5.825440337564e-05
308                 	1.840384560904e-04	1.473345722107e-04	4.575920291516e-05	5.783832174942e-05
309                 	1.834927443374e-04	1.464087430735e-04	4.550673074081e-05	5.742946281783e-05
310                 	1.829510705999e-04	1.454910827597e-04	4.525607070084e-05	5.705870351988e-05
