# Residuals         
# Time              	Ux                  	Uy                  	Uz                  	p                   
0                   	N/A	N/A
1647                	1.194020395156e-05	2.106618940240e-04	1.478979638256e-05	2.623507257480e-06
1648                	1.191654501137e-05	2.105269251316e-04	1.478209905132e-05	2.619460088370e-06
1649                	1.188719164357e-05	2.103902584061e-04	1.477427147314e-05	2.614658440193e-06
1650                	1.186866799523e-05	2.102536568368e-04	1.476629634616e-05	2.609660304605e-06
1651                	1.184533109147e-05	2.101131839283e-04	1.475821287788e-05	2.604203964520e-06
1652                	1.183210204247e-05	2.099718113945e-04	1.474999726410e-05	2.599767068952e-06
1653                	1.180612850528e-05	2.098274103533e-04	1.474166613357e-05	2.595742862768e-06
1654                	1.178404041285e-05	2.096793655887e-04	1.473323884726e-05	2.590001042341e-06
1655                	1.176126676507e-05	2.095312611734e-04	1.472468749021e-05	2.586174776225e-06
1656                	1.174259603116e-05	2.093809496614e-04	1.471602473743e-05	2.582355170642e-06
1657                	1.172189920595e-05	2.092274972246e-04	1.470726928048e-05	2.577069810009e-06
1658                	1.169963343650e-05	2.090742877544e-04	1.469839238701e-05	2.573521621464e-06
1659                	1.167654837753e-05	2.089179680505e-04	1.468942526562e-05	2.568664152792e-06
1660                	1.166318911162e-05	2.087616934173e-04	1.468034059783e-05	2.565055497111e-06
1661                	1.164244583739e-05	2.086032345798e-04	1.467115253339e-05	2.561447519072e-06
1662                	1.162171798488e-05	2.084418045594e-04	1.466188191042e-05	2.555870618191e-06
1663                	1.159710438381e-05	2.082808103816e-04	1.465249459266e-05	2.553867949282e-06
1664                	1.158051940523e-05	2.081164720557e-04	1.464303636716e-05	2.547187525719e-06
1665                	1.156163038978e-05	2.079527169897e-04	1.463346543233e-05	2.544659625238e-06
1666                	1.154300201712e-05	2.077857658695e-04	1.462381826405e-05	2.540159538106e-06
1667                	1.152298330772e-05	2.076185963608e-04	1.461407082781e-05	2.535876458853e-06
1668                	1.150132492875e-05	2.074488850205e-04	1.460425158631e-05	2.530477561799e-06
1669                	1.148545447937e-05	2.072789719340e-04	1.459433826669e-05	2.526649336726e-06
1670                	1.146867941859e-05	2.071067119673e-04	1.458435667150e-05	2.521442592994e-06
1671                	1.144590346631e-05	2.069342334415e-04	1.457428465656e-05	2.517915773656e-06
1672                	1.142815542387e-05	2.067599926298e-04	1.456413236606e-05	2.514248034604e-06
1673                	1.141299407266e-05	2.065835788340e-04	1.455391570178e-05	2.508131193421e-06
1674                	1.139013588563e-05	2.064073913120e-04	1.454361310807e-05	2.504803751239e-06
1675                	1.137474472885e-05	2.062288131706e-04	1.453325184259e-05	2.499518855480e-06
1676                	1.135872164020e-05	2.060504476157e-04	1.452280867822e-05	2.496559625255e-06
1677                	1.133751818702e-05	2.058696876028e-04	1.451230725628e-05	2.491320175378e-06
1678                	1.131533350250e-05	2.056888802428e-04	1.450173023529e-05	2.488637708504e-06
1679                	1.130033775116e-05	2.055066725441e-04	1.449108416558e-05	2.485356958614e-06
1680                	1.129077594718e-05	2.053224169051e-04	1.448038747800e-05	2.479799935687e-06
1681                	1.126644539891e-05	2.051387312433e-04	1.446961484411e-05	2.476335844503e-06
1682                	1.124896884738e-05	2.049526660215e-04	1.445879075624e-05	2.471019605411e-06
1683                	1.122305844273e-05	2.047662572256e-04	1.444790719015e-05	2.466534075226e-06
1684                	1.120991282587e-05	2.045798702287e-04	1.443694675572e-05	2.463514688855e-06
1685                	1.119763777911e-05	2.043906879535e-04	1.442593522602e-05	2.458456358042e-06
1686                	1.117803120356e-05	2.042010921975e-04	1.441486629025e-05	2.454065718390e-06
1687                	1.116092631225e-05	2.040109188813e-04	1.440374089980e-05	2.449793346086e-06
1688                	1.115021133283e-05	2.038207012639e-04	1.439254242920e-05	2.446899701699e-06
1689                	1.112784049679e-05	2.036276415457e-04	1.438129989719e-05	2.441684201589e-06
1690                	1.111022668604e-05	2.034343402348e-04	1.437000567200e-05	2.437191593815e-06
1691                	1.109455622112e-05	2.032406697753e-04	1.435866276257e-05	2.432802063244e-06
1692                	1.107399329786e-05	2.030464468027e-04	1.434727070039e-05	2.428477164088e-06
1693                	1.105908975064e-05	2.028513479175e-04	1.433582927204e-05	2.424104850522e-06
1694                	1.104573355392e-05	2.026553065542e-04	1.432433769091e-05	2.419719962962e-06
1695                	1.102817120692e-05	2.024582856560e-04	1.431279765660e-05	2.415566966353e-06
1696                	1.101096842080e-05	2.022605835643e-04	1.430121033707e-05	2.411408272562e-06
1697                	1.099234886297e-05	2.020621857826e-04	1.428957812310e-05	2.407194844566e-06
1698                	1.097858255458e-05	2.018631276806e-04	1.427790638558e-05	2.403318216115e-06
1699                	1.096500111672e-05	2.016636040443e-04	1.426619187602e-05	2.399038695397e-06
1700                	1.094398828917e-05	2.014633724375e-04	1.425443422871e-05	2.394409432005e-06
1701                	1.092882991629e-05	2.012623163213e-04	1.424263294578e-05	2.389884916871e-06
1702                	1.091135486228e-05	2.010604599232e-04	1.423078914072e-05	2.385753655329e-06
1703                	1.090204291691e-05	2.008578711849e-04	1.421890420518e-05	2.381883011042e-06
1704                	1.088295131834e-05	2.006546177565e-04	1.420698000152e-05	2.378061832768e-06
1705                	1.086149025667e-05	2.004507786533e-04	1.419501774824e-05	2.374217151240e-06
1706                	1.085406113282e-05	2.002463752549e-04	1.418301933242e-05	2.370311380354e-06
1707                	1.083455353149e-05	2.000414222288e-04	1.417098546742e-05	2.366328168302e-06
1708                	1.082086122123e-05	1.998358882456e-04	1.415891661016e-05	2.362281314421e-06
1709                	1.080120589554e-05	1.996297920385e-04	1.414681409459e-05	2.358185387394e-06
1710                	1.079019667986e-05	1.994232032732e-04	1.413467884047e-05	2.354069880781e-06
1711                	1.077579836958e-05	1.992160996753e-04	1.412251118202e-05	2.349968344209e-06
1712                	1.076247101153e-05	1.990084872461e-04	1.411031199874e-05	2.345917640291e-06
1713                	1.074352614511e-05	1.988003671778e-04	1.409808106885e-05	2.341919097855e-06
1714                	1.072919316186e-05	1.985917433472e-04	1.408582030001e-05	2.337951181187e-06
1715                	1.070951395299e-05	1.983826248502e-04	1.407352878052e-05	2.333990726419e-06
1716                	1.069843066222e-05	1.981730452123e-04	1.406120818108e-05	2.330039223633e-06
1717                	1.068431178684e-05	1.979630042974e-04	1.404885812922e-05	2.326094773640e-06
1718                	1.066694361049e-05	1.977525085087e-04	1.403647980670e-05	2.322155352106e-06
